temp,pressure,energy-1,energy-2,energy-0
10.0,72,-5.962396968553515,-6.51149353332695,-6.529585270214347
10.0,73,-5.925352119392077,-6.480253876850423,-6.498464956379689
10.0,74,-5.888390694617217,-6.4490583738928535,-6.4673882514889005
10.0,75,-5.851513126000002,-6.417906779750003,-6.436354920500004
10.0,76,-5.814720045996977,-6.386798853745255,-6.405364732292133
10.0,77,-5.778012287750158,-6.355734359229622,-6.374417459665544
10.0,78,-5.741390885087035,-6.324713063581751,-6.343512879341612
10.0,79,-5.7048570725205705,-6.293734738207911,-6.3126507719628275
10.0,80,-5.668412285249202,-6.262799158542004,-6.281830922092804
10.0,81,-5.6320581591568395,-6.231906104045558,-6.251053118216271
10.0,82,-5.595796530812866,-6.201055358207736,-6.220317152739078
10.0,83,-5.559629437472136,-6.170246708545319,-6.189622821988191
10.0,84,-5.5235591170749805,-6.1394799466027274,-6.158969926211698
10.0,85,-5.487588008247203,-6.108754867952005,-6.128358269578804
10.0,86,-5.451718750300078,-6.078071272192824,-6.097787660179833
10.0,87,-5.415954183230356,-6.0474289629524876,-6.0672579100262265
10.0,88,-5.380297347720261,-6.0168277478859284,-6.036768835050546
10.0,89,-5.344751485137486,-5.9862674386757035,-6.006320255106473
10.0,90,-5.309320037535203,-5.9557478510320045,-5.975911993968804
10.0,91,-5.274006647652052,-5.9252688046926485,-5.945543879333459
10.0,92,-5.238815158912151,-5.89483012342308,-5.915215742817471
10.0,93,-5.203749615425089,-5.864431635016377,-5.8849274199589985
10.0,94,-5.168814261985927,-5.834073171293241,-5.854678750217312
10.0,95,-5.134013544075202,-5.803754568102006,-5.824469576972805
10.0,96,-5.099352107858922,-5.773475665318633,-5.794299747526988
10.0,97,-5.064834800188569,-5.743236306846713,-5.764169113102493
10.0,98,-5.0304666686011,-5.713036340617466,-5.734077528843065
10.0,99,-4.996252961318943,-5.682875618589739,-5.704024853813574
10.0,100,-4.962199127250001,-5.652753996750008,-5.674010951000005
20.0,0,-9.064799948249997,-8.897542367999996,-8.904854476624992
20.0,1,-9.009874001854762,-8.862219488397887,-8.869722445888671
20.0,2,-8.955527793798092,-8.826968965628735,-8.834661251820734
20.0,3,-8.901747306495167,-8.791790264999024,-8.799670377058556
20.0,4,-8.84851872304667,-8.756682855842865,-8.764749308160637
20.0,5,-8.795828427238794,-8.721646211521996,-8.729897535606591
20.0,6,-8.743663003543233,-8.686679809425792,-8.695114553797163
20.0,7,-8.69200923711719,-8.651783130971248,-8.660399861054207
20.0,8,-8.640854113803377,-8.616955661602992,-8.625752959620707
20.0,9,-8.590184820130004,-8.58219689079328,-8.59117335566076
20.0,10,-8.539988743310792,-8.547506312041996,-8.556660559259592
20.0,11,-8.49025347124497,-8.512883422876657,-8.522214084423542
20.0,12,-8.440966792517267,-8.4783277248524,-8.487833449080073
20.0,13,-8.392116696397922,-8.443838723552,-8.45351817507777
20.0,14,-8.343691372842681,-8.409415928585856,-8.419267788186335
20.0,15,-8.295679212492791,-8.375058853591996,-8.385081818096593
20.0,16,-8.248068806675011,-8.34076701623608,-8.35095979842049
20.0,17,-8.2008489474016,-8.306539938211392,-8.316901266691092
20.0,18,-8.154008627370326,-8.272377145238849,-8.282905764362585
20.0,19,-8.107537039964463,-8.238278167066992,-8.248972836810276
20.0,20,-8.061423579252793,-8.204242537471996,-8.215102033330595
20.0,21,-8.015657839989597,-8.170269794257665,-8.181292907141087
20.0,22,-7.9702296176146685,-8.136359479255425,-8.147545015380423
20.0,23,-7.925128908253305,-8.102511138324337,-8.113857919108392
20.0,24,-7.88034590871631,-8.06872432135109,-8.080231183305907
20.0,25,-7.8358710164999925,-8.034998582249997,-8.046664376874995
20.0,26,-7.791694829786167,-8.001333478963009,-8.01315707263881
